time_stamp	x	y	v	theta	omega	measure_x	measure_y	predict_x	predict_y	predict_v	predict_theta	predict_omega	true_x	true_y	true_v
1477010447750000	19.8894	10.8799	4.94155	1.44261	0.495667	19.6774	10.803	19.9419	10.8646	4.94287	1.41619	0.457031	20.1271	10.6247	4.85081
1477010447850000	19.8876	11.5062	5.04751	1.4943	0.459212	19.4335	12.3402	19.9388	11.3701	4.94155	1.49218	0.495667	20.1993	11.1041	4.84431
1477010447950000	19.7561	12.096	5.09502	1.61875	0.571916	19.2063	12.2418	19.9132	12.009	5.04751	1.54022	0.459212	20.2466	11.5861	4.8382
1477010448050000	19.8541	12.4655	4.97887	1.59124	0.442057	19.966	11.9688	19.716	12.6027	5.09502	1.67594	0.571916	20.2687	12.0692	4.83249
1477010448150000	19.8237	12.8972	4.91514	1.66399	0.516046	20.0192	12.4822	19.8318	12.9619	4.97887	1.63545	0.442057	20.2653	12.5522	4.82722
1477010448250000	19.9303	13.2088	4.77167	1.67893	0.504556	20.9151	12.2555	19.7644	13.3841	4.91514	1.71559	0.516046	20.2363	13.0339	4.82237
1477010448350000	19.8764	13.6625	4.75848	1.721	0.488922	19.858	13.5236	19.8659	13.6807	4.77167	1.72938	0.504556	20.1818	13.5129	4.81798
1477010448450000	19.8567	14.0388	4.67856	1.76912	0.515758	20.3387	13.5307	19.7928	14.13	4.75848	1.7699	0.488922	20.1017	13.9878	4.81405
1477010448550000	19.7434	14.4861	4.67315	1.82267	0.517607	19.6717	14.4038	19.7519	14.4939	4.67856	1.8207	0.515758	19.9962	14.4573	4.81058
1477010448650000	19.7078	14.8109	4.56339	1.84959	0.492925	20.1149	14.0165	19.6146	14.9344	4.67315	1.87443	0.517607	19.8655	14.9202	4.80759
1477010448750000	19.5436	15.2276	4.54923	1.9683	0.6537	20.0157	15.3443	19.5707	15.2454	4.56339	1.89888	0.492925	19.7099	15.3749	4.80509
1477010448850000	19.4529	15.5562	4.46014	2.00677	0.6233	19.9388	15.0864	19.3534	15.64	4.54923	2.03367	0.6537	19.5298	15.8203	4.80309
1477010448950000	19.271	15.9631	4.45427	2.04186	0.564448	19.1556	16.0022	19.2517	15.9534	4.46014	2.0691	0.6233	19.3257	16.255	4.80158
1477010449050000	19.0937	16.3348	4.43331	2.09778	0.575541	19.4007	16.2962	19.0574	16.3532	4.45427	2.0983	0.564448	19.0981	16.6777	4.80057
1477010449150000	18.7879	16.8067	4.54047	2.20541	0.68171	18.8373	17.7112	18.8595	16.7106	4.43331	2.15534	0.575541	18.8477	17.0872	4.80006
1477010449250000	18.6255	17.1445	4.44828	2.19896	0.539081	18.8177	17.0316	18.5063	17.1621	4.54047	2.27358	0.68171	18.5752	17.4822	4.80006
1477010449350000	18.3646	17.5105	4.44949	2.23001	0.48734	18.2749	17.4877	18.3544	17.4965	4.44828	2.25287	0.539081	18.2814	17.8617	4.80057
1477010449450000	18.0951	17.7899	4.40478	2.30781	0.55451	18.3021	17.498	18.0836	17.8548	4.44949	2.27874	0.48734	17.9671	18.2246	4.80158
1477010449550000	17.9251	18.0899	4.33786	2.33491	0.527827	18.8558	18.1364	17.7902	18.1071	4.40478	2.36326	0.55451	17.6334	18.5697	4.80309
1477010449650000	17.6327	18.3462	4.30475	2.40329	0.563139	17.7945	18.0801	17.6169	18.3944	4.33786	2.3877	0.527827	17.2811	18.8962	4.80509
1477010449750000	17.2518	18.7594	4.4114	2.44508	0.5371	16.9398	19.7311	17.3065	18.6263	4.30475	2.4596	0.563139	16.9113	19.203	4.80759
1477010449850000	16.7878	19.174	4.56226	2.50898	0.55746	16.1674	20.2201	16.9063	19.0328	4.4114	2.49879	0.5371	16.5251	19.4894	4.81058
1477010449950000	16.431	19.2847	4.47381	2.60003	0.6148	16.4366	18.2742	16.4128	19.433	4.56226	2.56473	0.55746	16.1237	19.7545	4.81405
1477010450050000	16.1049	19.4849	4.39785	2.6259	0.538108	16.2328	19.2166	16.0411	19.5032	4.47381	2.66151	0.6148	15.7082	19.9978	4.81798
1477010450150000	15.5316	19.9169	4.61669	2.65883	0.496806	14.3677	21.3406	15.717	19.6913	4.39785	2.67971	0.538108	15.2799	20.2185	4.82237
